codigo,polaridade,nivel_estado,sinal_comportamental,esfera_familiar,esfera_social,esfera_profissional,esfera_individual
SE01,escravidao x servidão ao propósito,Entrega ao Todo,Serve por amor e liberdade plena,Cuida da família com doação serena,Se doa aos amigos com leveza e fé,"Trabalha como missão, não obrigação","Ama sem cobrança, com liberdade sagrada"
SE02,escravidao x servidão ao propósito,Serviço Cósmico,Age com devoção ao bem coletivo,Serve silenciosamente em todas as tarefas,Apoia causas e pessoas com energia leve,Vê o trabalho como canal de cura coletiva,Serve ao outro como expressão da alma
SE03,escravidao x servidão ao propósito,Missão de Vida,Sente alegria em ser útil,Cumpre funções familiares com prazer,Está sempre disponível de coração,É referência de dedicação e amor pelo que faz,Faz do relacionamento uma missão
SE04,escravidao x servidão ao propósito,Vocação,Faz bem feito com sentido e verdade,Realiza tarefas com sentido familiar,Ajuda com entusiasmo os que o cercam,Desempenha com clareza seu papel,Constrói junto com entrega afetiva
SE05,escravidao x servidão ao propósito,Propósito,Tem clareza de sua entrega,Está presente no que faz em casa,Traz intenção para ações simples,Alinha tarefas ao bem maior,Entende a relação como jornada conjunta
SE06,escravidao x servidão ao propósito,Dedicação,"Trabalha duro, mas já sente peso","Entrega constante, mas cansada","Ajuda, mas espera reconhecimento",Cumpre com esforço contínuo,"Serve ao outro, mas esquece de si"
SE07,escravidao x servidão ao propósito,Compromisso,Sente-se preso por promessas,Faz por obrigação e não por amor,Mantém-se em grupos por lealdade vazia,Executa sem brilho por causa do contrato,Está na relação por compromisso moral
SE08,escravidao x servidão ao propósito,Rotina,Cumpre por inércia,Faz sempre o mesmo em casa,Segue as programações sociais sem prazer,Reproduz tarefas no automático,Mantém a relação por hábito
SE09,escravidao x servidão ao propósito,Dependência Leve,Sente que precisa ser útil para ser amado,Ajuda esperando ser aceito,Se envolve demais por medo de rejeição,Assume mais do que pode por insegurança,Entrega-se sem receber de volta
SE10,escravidao x servidão ao propósito,Servidão Leve,Não sabe dizer não,Se sobrecarrega para manter a paz,Faz tudo para manter amizades tóxicas,Trabalha sem limites saudáveis,Está na relação por medo de abandono
SE11,escravidao x servidão ao propósito,Dependência,Fica por necessidade emocional,Ajuda mesmo sendo maltratado,Se envolve em relações abusivas,Aceita humilhações no trabalho,Depende do parceiro para existir
SE12,escravidao x servidão ao propósito,Escravidão Emocional,Perde a autonomia por completo,É manipulado constantemente na família,Obedece sem questionar,Submete-se a ordens sem dignidade,Não tem liberdade emocional no vínculo
SE13,escravidao x servidão ao propósito,Escravidão Total,"Não vive para si, vive como objeto",É tratado como servo pelos familiares,Vira fantoche dos grupos sociais,Não tem escolha no que faz,Existe apenas para agradar o outro
BC01,benção x maldição,Graça Divina,Vive sob proteção e abundância espiritual,Família floresce em paz e gratidão,Irradia bênçãos por onde passa,Multiplica tudo o que toca com fé,É fonte de luz e paz no relacionamento
BC02,Benção x maldição,Proteção Celestial,Presença que protege e fortalece,É referência de amparo e harmonia,Traz segurança e equilíbrio aos amigos,Gera estabilidade ao redor com postura,Ampara e eleva o outro nos momentos difíceis
BC03,Benção x maldição,Favor Divino,Tudo coopera para o bem,Os vínculos prosperam com amor,Tem amizade fiel e duradoura,É lembrado por gerar oportunidades,Faz crescer o amor com presença e verdade
BC04,Benção x maldição,Inspiração Superior,É exemplo e motivação sem falar muito,Inspira a união da família pelo exemplo,Leva outros a sonhar e realizar,Gera movimento positivo nas equipes,Faz o outro desejar ser melhor
BC05,Benção x maldição,Florescimento,Vibração que fertiliza tudo ao redor,Melhora os ambientes apenas estando presente,Traz alegria e cura para os grupos,Conecta metas com realização real,Faz o amor florescer de forma constante
BC06,Benção x maldição,Fertilidade Existencial,"Atrai ideias, pessoas e realizações",Atrai harmonia no convívio,Facilita reconciliações sociais,Cria soluções viáveis com leveza,Reinventa o vínculo com carinho e visão
BC07,Benção x maldição,Equilíbrio Neutro,Nem atrai nem repele bênçãos,"Mantém a família estável, sem novidades","Não interfere, nem atrapalha",Cumpre o papel com funcionalidade,"Relação se mantém sem paixão, mas sem crise"
BC08,Benção x maldição,Estagnação,"Nada piora, mas nada evolui",Ambiente familiar morno e repetitivo,Círculos sociais parados no tempo,"Ideias estagnadas, sem criatividade",Relação gira em torno do mesmo ciclo
BC09,Benção x maldição,Sombra Latente,Tensão que anuncia problemas,Discussões começam a surgir com frequência,Invejas e mal-entendidos se acumulam,Resultados caem sem razão clara,Sentimento de distanciamento afetivo
BC10,Benção x maldição,Vazio Crescente,Sensação de ausência e perda,Sensação de solidão mesmo com companhia,Amizades se desfazem com facilidade,Projetos são abandonados sem motivo,O amor perde intensidade
BC11,Benção x maldição,Maldição Incipiente,Fatos estranhos e repetitivos,Conflitos sem fim dentro de casa,Romances ou sociedades fracassam sem explicação,Prejuízos recorrentes em áreas importantes,Ciclo de dor começa a se instalar
BC12,Benção x maldição,Torção do Destino,Tudo que se planeja dá errado,Família entra em crise profunda,Perde conexões verdadeiras,"Fracassos se acumulam, mesmo com esforço",Relacionamentos terminam sem causa lógica
BC13,Benção x maldição,Perdição Eterna,Desconexão total com a fonte da vida,"Lares destruídos, ódio e separações",Amizades viram ódio ou indiferença,Ambiente tóxico e doentio,Amor se transforma em prisão e sofrimento
FE01,fé x descrença,União Mística,Fé viva e inabalável em conexão com o divino,Guia a família com base espiritual sólida,Fortalece todos com presença de fé,Enxerga propósito em cada desafio,Ama com entrega e confiança total
FE02,fé x descrença,Fé Transcendental,Acredita mesmo sem ver,Ensina esperança nos momentos difíceis,Faz orações e encoraja os amigos,Segue com fé mesmo sem retorno imediato,Confia no plano do relacionamento
FE03,fé x descrença,Certeza Inabalável,Convicção profunda sem arrogância,É firme em valores mesmo sob críticas,Expõe sua fé com amor e equilíbrio,Decide com coragem baseada em fé,Confia no vínculo e em sua reconstrução
FE04,fé x descrença,Confiança Absoluta,"Entrega sem medo, com paz",Confia nos processos familiares,Dá suporte sem exigir provas,Se entrega a metas elevadas sem dúvida,Crê no potencial do parceiro com firmeza
FE05,fé x descrença,Fé Ativa,Coloca fé em ação cotidiana,Participa com fé nas decisões do lar,Demonstra fé nos outros com atitudes,Faz da profissão uma missão com fé,"Reza junto, decide junto, caminha junto"
FE06,fé x descrença,Crença Sólida,Tem fundamentos claros e estáveis,Segue rituais com constância,Defende sua fé sem impor,Usa valores espirituais como base ética,Sustenta a rotina com fundamentos firmes
