CÓDIGO,Nível e Estado,Sinal Comportamental,Familiar,Social/Amizades,Profissional,Individual/Conjugal
BE01,Graça Divina,Vive sob proteção e abundância espiritual,Família floresce em paz e gratidão,Irradia bênçãos por onde passa,Multiplica tudo o que toca com fé,É fonte de luz e paz no relacionamento
BE02,Proteção Celestial,Presença que protege e fortalece,É referência de amparo e harmonia,Traz segurança e equilíbrio aos amigos,Gera estabilidade ao redor com postura,Ampara e eleva o outro nos momentos difíceis
BE03,Favor Divino,Tudo coopera para o bem,Os vínculos prosperam com amor,Tem amizade fiel e duradoura,É lembrado por gerar oportunidades,Faz crescer o amor com presença e verdade
BE04,Inspiração Superior,É exemplo e motivação sem falar muito,Inspira a união da família pelo exemplo,Leva outros a sonhar e realizar,Gera movimento positivo nas equipes,Faz o outro desejar ser melhor
BE05,Florescimento,Vibração que fertiliza tudo ao redor,Melhora os ambientes apenas estando presente,Traz alegria e cura para os grupos,Conecta metas com realização real,Faz o amor florescer de forma constante
BE06,Fertilidade Existencial,"Atrai ideias, pessoas e realizações",Atrai harmonia no convívio,Facilita reconciliações sociais,Cria soluções viáveis com leveza,Reinventa o vínculo com carinho e visão
BE07,Equilíbrio Neutro,Nem atrai nem repele bênçãos,"Mantém a família estável, sem novidades","Não interfere, nem atrapalha",Cumpre o papel com funcionalidade,"Relação se mantém sem paixão, mas sem crise"
BE08,Estagnação,"Nada piora, mas nada evolui",Ambiente familiar morno e repetitivo,Círculos sociais parados no tempo,"Ideias estagnadas, sem criatividade",Relação gira em torno do mesmo ciclo
BE09,Sombra Latente,Tensão que anuncia problemas,Discussões começam a surgir com frequência,Invejas e mal-entendidos se acumulam,Resultados caem sem razão clara,Sentimento de distanciamento afetivo
BE10,Vazio Crescente,Sensação de ausência e perda,Sensação de solidão mesmo com companhia,Amizades se desfazem com facilidade,Projetos são abandonados sem motivo,O amor perde intensidade
BE11,Maldição Incipiente,Fatos estranhos e repetitivos,Conflitos sem fim dentro de casa,Romances ou sociedades fracassam sem explicação,Prejuízos recorrentes em áreas importantes,Ciclo de dor começa a se instalar
BE12,Torção do Destino,Tudo que se planeja dá errado,Família entra em crise profunda,Perde conexões verdadeiras,"Fracassos se acumulam, mesmo com esforço",Relacionamentos terminam sem causa lógica
BE13,Perdição Eterna,Desconexão total com a fonte da vida,"Lares destruídos, ódio e separações",Amizades viram ódio ou indiferença,Ambiente tóxico e doentio,Amor se transforma em prisão e sofrimento
