chave_correspondencia,codigo,tecnico,simbolico,diagnostico,simbolico_texto,mensagem,gatilho_tatil,gatilho_olfato,gatilho_audicao,gatilho_visao,gatilho_paladar
R0Y0B12,A008,Perfil de Resiliência com Expansão Virtuosa,O Semeador Silencioso,"Este perfil representa um equilíbrio emocional consolidado. Há domínio sobre os gatilhos, clareza de valores e capacidade de regeneração emocional. As zonas sombrias ainda existem, mas são administradas com sabedoria prática.",Você cultiva silêncio e colhe presença. Seu tempo de plantar superou a pressa de colher. O que você oferece ao mundo agora não é mais reação — é semente escolhida com consciência.,Você não precisa provar nada quando já está inteiro.,Toque consciente em folhas ou sementes vivas,Capim-limão ou pinho suave,Som de campo com brisa e vida leve,Terreno fértil e mãos que cuidam,Sementes mastigadas com lentidão
R0Y1B11,A009,Perfil de Coerência Emocional em Alta Expressão,O Pacificador Interno,"Este perfil demonstra domínio emocional elevado. Os conflitos internos são abordados com compaixão, e há uma integração real entre mente, corpo e espírito. Há influência positiva no ambiente, capacidade de escuta e liderança compassiva.","Sua alma é um rio calmo que nutre as margens. Você não busca vencer as batalhas dos outros, mas silenciar as guerras internas. Onde você chega, a tensão se curva e o espaço respira.",Você é paz antes de falar em paz.,Autoimposição de mãos sobre o centro do peito,Sândalo ou mirra em baixa concentração,Silêncio com respiração — ou sopro leve constante,Águas tranquilas e campos vastos,Água com gotas de limão ou pepino
R0Y2B10,A010,Perfil de Consagração Emocional com Plenitude Interior,O Guardião da Harmonia,"Indivíduo com profunda estabilidade interna, sabedoria emocional aplicada e compromisso com o bem maior. Este perfil é raro, e representa alguém que já transcendeu as reações impulsivas, conduzindo a própria vida com firmeza e doçura.","Sua alma não apenas encontrou paz — ela se tornou paz. Seu silêncio não pesa, sua presença não se impõe. Você é ponte entre o caos e a luz, e isso é algo que ninguém pode tirar de você.",Você se tornou o lugar onde os outros gostariam de morar.,Toque gentil no rosto com olhos fechados,Olíbano ou flor branca fresca,Silêncio sagrado com intenção,"Ambientes minimalistas, naturais e limpos",Água pura em jejum com intenção
R0Y3B9,A011,Perfil de Pureza Emocional em Harmonia Total,O Espelho da Alma Clara,"Alguém em elevado estado vibracional, que vive com integridade emocional em todos os aspectos. Este perfil representa quem já ressignificou sua dor, acolheu a sombra e agora atua como referência natural de luz e consciência.","Você é espelho, mas não reflete — revela. Onde passa, outros se reconhecem ou se transformam. Sua luz não é ruído, é verdade. E onde há verdade, há cura silenciosa.",Você se tornou a resposta que antes buscava em outros.,Contato com cristal liso ou superfícies espelhadas,Flor de lótus ou neroli,Voz interior guiada pela respiração,Imagens de olhos serenos ou reflexos naturais,Frutas aquosas com atenção plena
R0Y4B8,A012,Perfil de Elevação Plena e Alinhamento Espiritual,O Portador da Luz Silenciosa,"Raríssimo estado de equilíbrio absoluto, com emoções, comportamentos e pensamentos operando em harmonia com um princípio superior. Este arquétipo representa o nível máximo de expressão consciente dos frutos do espírito.","Você é como a brisa que não se vê, mas muda tudo por onde passa. Sua alma é templo, presença e farol. Você não precisa de palco, pois sua vibração fala onde o ego se cala.",Você não busca luz — você se tornou luz.,Toque com as costas das mãos sobre o colo com olhos fechados,Nada — apenas ar puro,Silêncio absoluto ou som do próprio pulso,Luz natural com olhos semicerrados,Jejum simbólico com respiração consciente
R0Y5B7,A031,Perfil de Evolução com Fragilidade Residual,O Crescente Instável,"Perfil de integração completa entre emoção, razão e propósito. Indivíduo que não apenas conhece sua essência, mas vive a partir dela.","Você não fala — revela. Sua existência é semente, e sua história é jardim. Onde você pisa, há convite à transformação.",Você se tornou o reflexo daquilo que acreditou mesmo quando ninguém via.,Mãos sobre o rosto com gratidão,Flor branca e madeira doce,Canto coral suave,Imagens de caminhos floridos e abertos,Tisana de frutas com toque cítrico
R1Y0B11,A032,Perfil de Reintegração Emocional em Expansão,O Teu Regresso ao Centro,"Indivíduo em alto grau de harmonia emocional e presença compassiva. Sua influência é silenciosa, mas transformadora. Costuma ser referência em ambientes caóticos.","Você é como a brisa que não se impõe, mas muda o ar. Sua essência ensina sem palavras e consola sem prometer.",A verdadeira liderança não guia — ela acalma.,Toque nas costas com apoio da palma inteira,Cedro e lavanda combinados,Sons de fogo crepitando em ambiente tranquilo,Imagem de cabana ou abrigo em meio à natureza,Infusão morna de aveia com canela
R1Y1B10,A033,Perfil de Integração Ascendente com Flutuações,O Mensageiro do Fio Tênue,"Este arquétipo representa integração total dos centros de consciência: pensamento, emoção, corpo e espírito. A ação é conduzida por intenção pura.","Você é o silêncio que ora. A luz que não pede palco. Sua alma está onde o mundo se torna oração, e sua existência já não divide o que é sagrado do que é simples.",Você é a resposta quando não há mais pergunta.,Mãos em mudra de prece com olhos fechados,Olíbano e mirra em concentração leve,Silêncio profundo entre os sons,Imagens minimalistas em branco e dourado,Água pura ingerida com intenção
R1Y2B9,A034,Perfil de Ressonância com Alta Capacidade de Autocontrole,A Fonte Interna Flexível,"Pessoa cuja energia já transborda para além do próprio processo. Costuma atuar como agente de cura, mesmo sem ter esse como objetivo consciente.","Você se tornou um campo fértil onde os outros repousam. Sua alma é jardim, e sua existência é convite para que outras flores nasçam.",Você cura pelo que é — não pelo que faz.,"Contato com terra, planta ou semente real","Ervas frescas: hortelã, manjericão e alecrim",Som de chuva suave e prolongada,Verde vivo e paisagens com flores brotando,Frutas cítricas doces em jejum
R1Y3B8,A035,Perfil de Equilíbrio Sensorial Fluido,O Harmônico das Marés,"Este perfil manifesta conexão com algo maior. A pessoa opera a partir de um estado elevado de consciência, sem negar a matéria, mas transcendendo o ego.","Você é um canal. O que flui por você não termina em você. Sua alma é via, sua vida é templo. E mesmo o invisível se manifesta no seu toque.",Você é meio — e por isso também é milagre.,"Contato com superfícies naturais lisas (pedra, madeira)",Incenso de templo ou essência de flor azul,Notas longas de sinos ou taças tibetanas,Formas geométricas suaves e onduladas,Alimento cru ou vivo mastigado lentamente
