CÓDIGO,Nível e Estado,Sinal Comportamental,Familiar,Social/Amizades,Profissional,Individual/Conjugal
FE01,União Mística,Fé viva e inabalável em conexão com o divino,Guia a família com base espiritual sólida,Fortalece todos com presença de fé,Enxerga propósito em cada desafio,Ama com entrega e confiança total
FE02,Fé Transcendental,Acredita mesmo sem ver,Ensina esperança nos momentos difíceis,Faz orações e encoraja os amigos,Segue com fé mesmo sem retorno imediato,Confia no plano do relacionamento
FE03,Certeza Inabalável,Convicção profunda sem arrogância,É firme em valores mesmo sob críticas,Expõe sua fé com amor e equilíbrio,Decide com coragem baseada em fé,Confia no vínculo e em sua reconstrução
FE04,Confiança Absoluta,"Entrega sem medo, com paz",Confia nos processos familiares,Dá suporte sem exigir provas,Se entrega a metas elevadas sem dúvida,Crê no potencial do parceiro com firmeza
FE05,Fé Ativa,Coloca fé em ação cotidiana,Participa com fé nas decisões do lar,Demonstra fé nos outros com atitudes,Faz da profissão uma missão com fé,"Reza junto, decide junto, caminha junto"
FE06,Crença Sólida,Tem fundamentos claros e estáveis,Segue rituais com constância,Defende sua fé sem impor,Usa valores espirituais como base ética,Sustenta a rotina com fundamentos firmes
FE07,Dúvida Saudável,Questiona sem abandonar a fé,Conversa sobre questões espirituais com respeito,Escuta outras opiniões,Busca respostas com mente e coração abertos,Fala de incertezas com maturidade
FE08,Ceticismo Neutro,Não crê nem descrê,Aceita que outros creiam,Evita discussões religiosas,Trabalha sem pensar em propósitos maiores,Relaciona-se sem pensar no transcendente
FE09,Desconfiança,Suspeita dos caminhos espirituais,"Duvida de líderes, de ritos e intenções",Ri de práticas de fé dos amigos,Desacredita de propósitos superiores,Desconfia das intenções do outro na relação
FE10,Ceticismo Cínico,Zomba da fé alheia,Desvaloriza ensinamentos familiares,Provoca debates vazios por vaidade,"Crê apenas no material, sem abertura",Critica quem crê como se fosse fraco
FE11,Negação Ativa,Age contra tudo que remete à fé,Impede rituais em casa,Rompe vínculos por desacordo espiritual,Sabota iniciativas com base espiritual,Faz o parceiro abandonar crenças importantes
FE12,Revolta Existencial,Rejeita Deus e a existência como castigo,Culpa a espiritualidade por traumas,Afasta todos que falam de fé,Destrói o simbólico nos ambientes,Diz que o amor é ilusão ou prisão espiritual
FE13,Desespero Absoluto,Perde toda esperança na vida,Entra em colapso emocional sem sentido,Rompe todos os vínculos com a fé,Abandona a si mesmo e ao propósito,Destrói a relação com desespero e abandono
