codigo,estado,comportamento,familiar,social,profissional,individual
SE01,Servidão Plena ao Propósito Divino,"Total rendição à missão interior, mesmo diante da dor.",É exemplo de fé e coerência para os familiares.,Inspira com seu testemunho e presença firme.,Trabalha com propósito e dedicação inabalável.,Sente-se em paz por viver com sentido.
SE02,Submissão Serena à Vontade Maior,"Aceita o que vem com fé, mesmo sem entender tudo.",Suporta com firmeza os ciclos difíceis do lar.,É coerente e pacífico em todos os ambientes.,Vê o trabalho como missão espiritual.,Acolhe sua história com gratidão e fé.
SE03,Alinhamento Amoroso ao Chamado,Sente paz ao seguir o que o coração espiritual indica.,Cuida dos seus como expressão de amor divino.,É lembrado por sua postura respeitosa e justa.,Busca o bem comum em tudo o que faz.,Tem clareza interior mesmo em meio a dúvidas.
SE04,Dedicação com Alegria Espiritual,"Sente-se útil, motivado e em comunhão com o Todo.",Está presente com leveza e disposição.,Contribui para o bem coletivo com naturalidade.,Age com responsabilidade e alegria.,Sente alegria em ser útil e estar a serviço.
SE05,Entrega com Resiliência Sagrada,Mantém o foco mesmo em meio a obstáculos.,Tenta manter a paz mesmo quando desafiado.,Tem atitudes positivas mas ainda se cansa.,Cumpre suas funções mesmo nos dias difíceis.,Busca diariamente alinhar-se ao alto.
SE06,Disponibilidade Espiritual Intermitente,Oscila entre servir e buscar o próprio interesse.,"Às vezes se doa, às vezes se ausenta.",Participa socialmente sem envolvimento profundo.,Falta constância nas entregas e foco no propósito.,Oscila entre fé e frustração.
SE07,Serviço Condicional e Pragmático,Serve quando convém ou quando é reconhecido.,"Ajuda quando solicitado, mas sem constância.",Prefere relações rápidas e de pouco compromisso.,Age com interesse próprio disfarçado de propósito.,Tem ressentimentos por não ser reconhecido.
SE08,Cansaço Espiritual diante do Propósito,Sente peso em cumprir o que intui ser o certo.,Sente que a família o atrasa ou exige demais.,Sente desconforto em grupos ou demandas sociais.,"Sente-se preso ao trabalho, sem sentido.",Sente que está desperdiçando sua vida.
SE09,Dúvida Repetitiva sobre seu Chamado,Dúvidas frequentes sobre o que realmente veio fazer.,Questiona seu papel dentro da família.,Tem dificuldade de se posicionar publicamente.,Tem crises vocacionais constantes.,Vive na dúvida se está no caminho certo.
SE10,Fuga Intencional da Missão Interior,Evita compromissos que exijam entrega profunda.,Evita conversas ou decisões familiares profundas.,Foge de vínculos sociais duradouros.,Troca de projetos ao primeiro sinal de exigência.,Evita olhar para si com profundidade.
SE11,Rebeldia Disfarçada de Liberdade,Disfarça a negação do propósito com outras causas.,Critica a estrutura familiar mas não propõe soluções.,Rejeita o convívio social espiritualizado.,Despreza o esforço de colegas e lideranças.,Vive conflitos internos não resolvidos.
SE12,Negação Ativa do Propósito,Tem consciência do chamado mas o rejeita.,Se desconecta afetivamente da família.,Isola-se como forma de preservar suas vontades.,Desrespeita hierarquias e metas.,Sente peso ao pensar sobre espiritualidade.
SE13,Escravidão a Falsas Liberdades,Confunde escravidão com liberdade individual.,Prioriza vontades pessoais acima do vínculo familiar.,Promove ideias libertárias que geram divisão.,Trabalha contra o propósito do ambiente.,Crê que não precisa de propósito para ser feliz.
